GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-management-system,com.ghosh.sanjay.enums,ReservationStatus,44,0,0,0,5,0,1,0,1,0
library-management-system,com.ghosh.sanjay.enums,BookStatus,44,0,0,0,5,0,1,0,1,0
library-management-system,com.ghosh.sanjay.enums,AccountStatus,54,0,0,0,6,0,1,0,1,0
library-management-system,com.ghosh.sanjay.enums,Constants,3,0,0,0,1,0,1,0,1,0
library-management-system,com.ghosh.sanjay.enums,BookFormat,74,0,0,0,8,0,1,0,1,0
library-management-system,com.ghosh.sanjay.beans,Person,114,97,27,11,0,6,25,8,6,8
library-management-system,com.ghosh.sanjay.beans,Address.AddressBuilder,12,42,0,0,0,1,1,7,1,7
library-management-system,com.ghosh.sanjay.beans,Person.PersonBuilder,10,35,0,0,0,1,1,6,1,6
library-management-system,com.ghosh.sanjay.beans,Address,139,115,33,13,0,7,30,9,7,9
library-management-system,com.ghosh.sanjay,LibraryManagementSystem,0,17,0,0,0,6,0,4,0,4
